support,itemsets
0.285,"frozenset({'(4956.094, 24386.173]', 'Save_Account_YES'})"
0.205,"frozenset({'Car_YES', '(4956.094, 24386.173]'})"
0.24833333333333332,"frozenset({'MALE', '(4956.094, 24386.173]'})"
0.23833333333333334,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', '(4956.094, 24386.173]'})"
0.22166666666666668,"frozenset({'(-0.003, 1.0]', '(4956.094, 24386.173]', 'Married_YES'})"
0.20166666666666666,"frozenset({'(-0.003, 1.0]', 'Mortgage_NO', '(4956.094, 24386.173]'})"
0.23833333333333334,"frozenset({'(4956.094, 24386.173]', 'Current_Account_YES', 'Mortgage_NO'})"
0.22166666666666668,"frozenset({'(4956.094, 24386.173]', 'Mortgage_NO', 'Married_YES'})"
0.20333333333333334,"frozenset({'Car_NO', '(4956.094, 24386.173]', 'Current_Account_YES'})"
0.24,"frozenset({'(4956.094, 24386.173]', 'Current_Account_YES', 'Married_YES'})"
0.22,"frozenset({'(4956.094, 24386.173]', 'Current_Account_YES', 'Pep_NO'})"
0.21333333333333335,"frozenset({'(4956.094, 24386.173]', 'Pep_NO', 'Married_YES'})"
0.22,"frozenset({'(4956.094, 24386.173]', 'Current_Account_YES', 'Save_Account_YES'})"
0.3433333333333333,"frozenset({'Pep_YES', '(-0.003, 1.0]'})"
0.30333333333333334,"frozenset({'Pep_YES', 'Mortgage_NO'})"
0.22666666666666666,"frozenset({'Car_NO', 'Pep_YES'})"
0.21666666666666667,"frozenset({'Pep_YES', 'FEMALE'})"
0.3516666666666667,"frozenset({'Pep_YES', 'Current_Account_YES'})"
0.29833333333333334,"frozenset({'Pep_YES', 'Save_Account_YES'})"
0.25666666666666665,"frozenset({'Pep_YES', 'Married_YES'})"
0.24,"frozenset({'Pep_YES', 'MALE'})"
0.23,"frozenset({'Car_YES', 'Pep_YES'})"
0.26,"frozenset({'Pep_YES', '(-0.003, 1.0]', 'Current_Account_YES'})"
0.21333333333333335,"frozenset({'Pep_YES', '(-0.003, 1.0]', 'Mortgage_NO'})"
0.23833333333333334,"frozenset({'Pep_YES', 'Current_Account_YES', 'Mortgage_NO'})"
0.23333333333333334,"frozenset({'Pep_YES', 'Current_Account_YES', 'Save_Account_YES'})"
0.21333333333333335,"frozenset({'Pep_YES', 'Save_Account_YES', 'Mortgage_NO'})"
0.205,"frozenset({'Pep_YES', '(-0.003, 1.0]', 'Save_Account_YES'})"
0.31,"frozenset({'(-0.003, 1.0]', 'INNER_CITY'})"
0.2916666666666667,"frozenset({'Mortgage_NO', 'INNER_CITY'})"
0.23166666666666666,"frozenset({'Car_NO', 'INNER_CITY'})"
0.22666666666666666,"frozenset({'(4956.094, 24386.173]', 'INNER_CITY'})"
0.21833333333333332,"frozenset({'FEMALE', 'INNER_CITY'})"
0.205,"frozenset({'Pep_YES', 'INNER_CITY'})"
0.3416666666666667,"frozenset({'Current_Account_YES', 'INNER_CITY'})"
0.2966666666666667,"frozenset({'INNER_CITY', 'Married_YES'})"
0.28833333333333333,"frozenset({'Save_Account_YES', 'INNER_CITY'})"
0.24333333333333335,"frozenset({'INNER_CITY', 'Pep_NO'})"
0.21666666666666667,"frozenset({'Car_YES', 'INNER_CITY'})"
0.23,"frozenset({'MALE', 'INNER_CITY'})"
0.23166666666666666,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', 'INNER_CITY'})"
0.22666666666666666,"frozenset({'Current_Account_YES', 'Mortgage_NO', 'INNER_CITY'})"
0.22666666666666666,"frozenset({'Current_Account_YES', 'INNER_CITY', 'Married_YES'})"
0.20833333333333334,"frozenset({'(-0.003, 1.0]', 'INNER_CITY', 'Married_YES'})"
0.22666666666666666,"frozenset({'Current_Account_YES', 'Save_Account_YES', 'INNER_CITY'})"
0.2,"frozenset({'Save_Account_YES', 'INNER_CITY', 'Married_YES'})"
0.25333333333333335,"frozenset({'(-0.003, 1.0]', '(34.333, 50.667]'})"
0.23,"frozenset({'(34.333, 50.667]', 'Mortgage_NO'})"
0.2633333333333333,"frozenset({'Current_Account_YES', '(34.333, 50.667]'})"
0.23333333333333334,"frozenset({'(34.333, 50.667]', 'Married_YES'})"
0.205,"frozenset({'(24386.173, 43758.137]', '(34.333, 50.667]'})"
0.24,"frozenset({'(34.333, 50.667]', 'Save_Account_YES'})"
0.21666666666666667,"frozenset({'Mortgage_NO', 'Married_NO'})"
0.215,"frozenset({'(-0.003, 1.0]', 'Married_NO'})"
0.2,"frozenset({'Pep_YES', 'Married_NO'})"
0.27,"frozenset({'Current_Account_YES', 'Married_NO'})"
0.22833333333333333,"frozenset({'Save_Account_YES', 'Married_NO'})"
0.215,"frozenset({'(-0.003, 1.0]', 'Save_Account_NO'})"
0.20166666666666666,"frozenset({'Save_Account_NO', 'Mortgage_NO'})"
0.22666666666666666,"frozenset({'Save_Account_NO', 'Current_Account_YES'})"
0.48833333333333334,"frozenset({'Current_Account_YES', 'Married_YES'})"
0.46166666666666667,"frozenset({'Save_Account_YES', 'Married_YES'})"
0.4483333333333333,"frozenset({'(-0.003, 1.0]', 'Married_YES'})"
0.3433333333333333,"frozenset({'Current_Account_YES', 'Save_Account_YES', 'Married_YES'})"
0.33,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', 'Married_YES'})"
0.30666666666666664,"frozenset({'(-0.003, 1.0]', 'Save_Account_YES', 'Married_YES'})"
0.225,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', 'Save_Account_YES', 'Married_YES'})"
0.4066666666666667,"frozenset({'Current_Account_YES', 'Pep_NO'})"
0.4033333333333333,"frozenset({'Pep_NO', 'Married_YES'})"
0.39166666666666666,"frozenset({'Save_Account_YES', 'Pep_NO'})"
0.34833333333333333,"frozenset({'Mortgage_NO', 'Pep_NO'})"
0.32,"frozenset({'(-0.003, 1.0]', 'Pep_NO'})"
0.295,"frozenset({'Current_Account_YES', 'Pep_NO', 'Married_YES'})"
0.29833333333333334,"frozenset({'Current_Account_YES', 'Save_Account_YES', 'Pep_NO'})"
0.2916666666666667,"frozenset({'Save_Account_YES', 'Pep_NO', 'Married_YES'})"
0.21666666666666667,"frozenset({'Current_Account_YES', 'Save_Account_YES', 'Pep_NO', 'Married_YES'})"
0.285,"frozenset({'Mortgage_NO', 'Pep_NO', 'Married_YES'})"
0.2633333333333333,"frozenset({'Current_Account_YES', 'Mortgage_NO', 'Pep_NO'})"
0.23666666666666666,"frozenset({'Save_Account_YES', 'Mortgage_NO', 'Pep_NO'})"
0.215,"frozenset({'Current_Account_YES', 'Mortgage_NO', 'Pep_NO', 'Married_YES'})"
0.2,"frozenset({'Save_Account_YES', 'Mortgage_NO', 'Pep_NO', 'Married_YES'})"
0.26,"frozenset({'(-0.003, 1.0]', 'Pep_NO', 'Married_YES'})"
0.24333333333333335,"frozenset({'(-0.003, 1.0]', 'Save_Account_YES', 'Pep_NO'})"
0.24,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', 'Pep_NO'})"
0.2,"frozenset({'(-0.003, 1.0]', 'Mortgage_NO', 'Pep_NO'})"
0.375,"frozenset({'MALE', 'Current_Account_YES'})"
0.335,"frozenset({'MALE', 'Married_YES'})"
0.26,"frozenset({'MALE', 'Pep_NO'})"
0.3333333333333333,"frozenset({'(-0.003, 1.0]', 'MALE'})"
0.31,"frozenset({'MALE', 'Mortgage_NO'})"
0.25166666666666665,"frozenset({'Car_NO', 'MALE'})"
0.3466666666666667,"frozenset({'MALE', 'Save_Account_YES'})"
0.245,"frozenset({'MALE', 'Current_Account_YES', 'Married_YES'})"
0.23333333333333334,"frozenset({'MALE', 'Save_Account_YES', 'Married_YES'})"
0.245,"frozenset({'(-0.003, 1.0]', 'Current_Account_YES', 'MALE'})"
0.22666666666666666,"frozenset({'(-0.003, 1.0]', 'MALE', 'Married_YES'})"
0.225,"frozenset({'(-0.003, 1.0]', 'Save_Account_YES', 'MALE'})"
0.23666666666666666,"frozenset({'MALE', 'Current_Account_YES', 'Mortgage_NO'})"
0.22,"frozenset({'MALE', 'Save_Account_YES', 'Mortgage_NO'})"
0.205,"frozenset({'MALE', 'Mortgage_NO', 'Married_YES'})"
0.265,"frozenset({'MALE', 'Current_Account_YES', 'Save_Account_YES'})"
0.36666666666666664,"frozenset({'Car_YES', 'Current_Account_YES'})"
0.3233333333333333,"frozenset({'Car_YES', 'Married_YES'})"
0.2633333333333333,"frozenset({'Car_YES', 'Pep_NO'})"
0.24833333333333332,"frozenset({'Car_YES', 'MALE'})"
0.34833333333333333,"frozenset({'Car_YES', 'Save_Account_YES'})"
0.3233333333333333,"frozenset({'Car_YES', 'Mortgage_NO'})"
0.31833333333333336,"frozenset({'Car_YES', '(-0.003, 1.0]'})"
0.245,"frozenset({'Car_YES', 'FEMALE'})"
0.23666666666666666,"frozenset({'Car_YES', 'Current_Account_YES', 'Married_YES'})"
0.24,"frozenset({'Car_YES', 'Save_Account_YES', 'Married_YES'})"
0.21333333333333335,"frozenset({'Car_YES', 'Mortgage_NO', 'Married_YES'})"
0.26666666666666666,"frozenset({'Car_YES', 'Current_Account_YES', 'Save_Account_YES'})"
0.23833333333333334,"frozenset({'Car_YES', 'Current_Account_YES', 'Mortgage_NO'})"
0.235,"frozenset({'Car_YES', 'Save_Account_YES', 'Mortgage_NO'})"
0.235,"frozenset({'Car_YES', '(-0.003, 1.0]', 'Current_Account_YES'})"
0.22333333333333333,"frozenset({'Car_YES', '(-0.003, 1.0]', 'Save_Account_YES'})"
0.215,"frozenset({'Car_YES', '(-0.003, 1.0]', 'Married_YES'})"
